RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+1.00000000000000e+01 +7.84881718960730e+24 +1.04457183329415e+24 +1.04457183329415e+04 +1.11316834911417e-27 +0.00000000000000e+00 +3.20129979454302e+25 +7.48205854637612e+24 +5.42078785588204e+00 +7.51390851202193e+00 +3.61385857058803e+00 
+1.14975699539774e+01 +7.82678376963127e+24 +1.04304257549772e+24 +1.19924549767617e+04 +6.31068503625670e-27 +0.00000000000000e+00 +3.21642768506328e+25 +7.50025895208546e+24 +5.46940398265008e+00 +7.50380085481795e+00 +3.64626932176672e+00 
+1.32194114846603e+01 +7.80139087795268e+24 +1.03716224633522e+24 +1.37106745106599e+04 +2.89309199959963e-26 +0.00000000000000e+00 +3.23302724768346e+25 +7.51390187941694e+24 +5.52002735277525e+00 +7.52186160412090e+00 +3.68001823518350e+00 
+1.51991108295293e+01 +7.76569920824082e+24 +1.02935954714843e+24 +1.56453498405431e+04 +1.10071836891472e-25 +0.00000000000000e+00 +3.25101529431217e+25 +7.52500827017054e+24 +5.57347180045610e+00 +7.54420477252447e+00 +3.71564786697073e+00 
+1.74752840000768e+01 +7.73691148181745e+24 +1.01859515429078e+24 +1.78002396023335e+04 +3.57984220947294e-25 +0.00000000000000e+00 +3.27128370727511e+25 +7.53328696339552e+24 +5.63105334045221e+00 +7.59566884765365e+00 +3.75403556030147e+00 
+2.00923300256505e+01 +7.69102711652231e+24 +1.00576850326214e+24 +2.02082326969475e+04 +1.02292094052805e-24 +0.00000000000000e+00 +3.29339988238505e+25 +7.53999773247813e+24 +5.69314678357427e+00 +7.64691585745327e+00 +3.79543118904951e+00 
+2.31012970008316e+01 +7.64656371244338e+24 +9.91907015341029e+23 +2.29143385586016e+04 +2.59070235885808e-24 +0.00000000000000e+00 +3.31779808262168e+25 +7.54672389648778e+24 +5.75978343302691e+00 +7.70895214388055e+00 +3.83985562201794e+00 
+2.65608778294669e+01 +7.59898756213213e+24 +9.76806589673467e+23 +2.59448404913351e+04 +5.96166065121240e-24 +0.00000000000000e+00 +3.34469582027405e+25 +7.55399100054990e+24 +5.83146909994403e+00 +7.77941881480587e+00 +3.88764606662935e+00 
+3.05385550883342e+01 +7.55102645503007e+24 +9.61285052410784e+23 +2.93562565286389e+04 +1.26037360653321e-23 +0.00000000000000e+00 +3.37419740464455e+25 +7.56331833339559e+24 +5.90807438768794e+00 +7.85513769936714e+00 +3.93871625845863e+00 
+3.51119173421513e+01 +7.49943400133826e+24 +9.44555517607514e+23 +3.31651552593080e+04 +2.47874134831291e-23 +0.00000000000000e+00 +3.40683365814326e+25 +7.57471350459577e+24 +5.99060460316200e+00 +7.93964342120805e+00 +3.99373640210800e+00 
+4.03701725859656e+01 +7.44267785230665e+24 +9.29746455008010e+23 +3.75340248498630e+04 +4.53255904866320e-23 +0.00000000000000e+00 +3.44187490836374e+25 +7.59228532742757e+24 +6.07696222270278e+00 +8.00506182327152e+00 +4.05130814846852e+00 
+4.64158883361278e+01 +7.39516173045990e+24 +9.14428531596131e+23 +4.24440126139353e+04 +7.87070142673940e-23 +0.00000000000000e+00 +3.48089422464174e+25 +7.61448078022604e+24 +6.16946822453314e+00 +8.08719487082459e+00 +4.11297881635543e+00 
+5.33669923120631e+01 +7.32544449555009e+24 +8.98326041636359e+23 +4.79409589577336e+04 +1.29798469566609e-22 +0.00000000000000e+00 +3.52372097908340e+25 +7.64163110510208e+24 +6.26876577404702e+00 +8.15454985831905e+00 +4.17917718269801e+00 
+6.13590727341317e+01 +7.28103914963732e+24 +8.84084943471205e+23 +5.42466323496004e+04 +2.03849139798488e-22 +0.00000000000000e+00 +3.57098847696355e+25 +7.67764927834646e+24 +6.37280457659897e+00 +8.23567826078973e+00 +4.24853638439931e+00 
+7.05480231071865e+01 +7.20087567959907e+24 +8.68844506573366e+23 +6.12952623262898e+04 +3.10969690508915e-22 +0.00000000000000e+00 +3.62362833787508e+25 +7.72072571918367e+24 +6.48597818559924e+00 +8.28787616785262e+00 +4.32398545706616e+00 
+8.11130830789687e+01 +7.13752617418666e+24 +8.54448661534565e+23 +6.93069652697668e+04 +4.55591698937663e-22 +0.00000000000000e+00 +3.68244425578266e+25 +7.77346337372775e+24 +6.60607112912332e+00 +8.35337041943266e+00 +4.40404741941555e+00 
+9.32603346883220e+01 +7.05642790370087e+24 +8.41002256701751e+23 +7.84321519336394e+04 +6.45720893289579e-22 +0.00000000000000e+00 +3.74774313898966e+25 +7.83729336144546e+24 +6.73388960781221e+00 +8.39049817936853e+00 +4.48925973854147e+00 
+1.07226722201032e+02 +6.97716083179869e+24 +8.27754954019325e+23 +8.87574505051584e+04 +8.95449555052839e-22 +0.00000000000000e+00 +3.82260055832951e+25 +7.91385211112460e+24 +6.87300898449672e+00 +8.42901730508496e+00 +4.58200598966448e+00 
